_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
1,1,Marie Curtis Park East Beach,29W,2024-09-08,,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
2,1,Marie Curtis Park East Beach,33W,2024-09-08,,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
3,1,Marie Curtis Park East Beach,32W,2024-09-08,,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
4,1,Marie Curtis Park East Beach,31W,2024-09-08,,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
5,1,Marie Curtis Park East Beach,30W,2024-09-08,,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
6,2,Sunnyside Beach,23W,2024-09-08,,None,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
7,2,Sunnyside Beach,18W,2024-09-08,70,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
8,2,Sunnyside Beach,17W,2024-09-08,60,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
9,2,Sunnyside Beach,20W,2024-09-08,130,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
10,2,Sunnyside Beach,21W,2024-09-08,120,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
11,2,Sunnyside Beach,19W,2024-09-08,50,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
12,2,Sunnyside Beach,22W,2024-09-08,100,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
13,1,Marie Curtis Park East Beach,29W,2024-09-07,,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
14,1,Marie Curtis Park East Beach,33W,2024-09-07,,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
